Date,S&P500(TR),S&P500(NetTR),S&P500
10/31/2007,2423.67,2320.93,1549.38
11/1/2007,2360.21,2260,1508.44
11/2/2007,2362.21,2261.88,1509.65
11/5/2007,2350.69,2250.8,1502.17
11/6/2007,2379.05,2277.94,1520.27
11/7/2007,2310.41,2211.87,1475.62
11/8/2007,2309.18,2210.66,1474.77
11/9/2007,2276.26,2179.12,1453.7
11/12/2007,2253.53,2157.36,1439.18
11/13/2007,2319.86,2220.64,1481.05
11/14/2007,2304.06,2205.34,1470.58
11/15/2007,2273.73,2176.28,1451.15
11/16/2007,2285.67,2187.7,1458.74
11/19/2007,2245.81,2149.53,1433.27
11/20/2007,2256.02,2159.26,1439.7
11/21/2007,2220.21,2124.95,1416.77
11/23/2007,2257.95,2161.01,1440.7
11/26/2007,2205.49,2110.79,1407.22
11/27/2007,2238.52,2142.38,1428.23
11/28/2007,2303.17,2204.05,1469.02
11/29/2007,2304.43,2205.2,1469.72
11/30/2007,2322.34,2222.35,1481.14
12/3/2007,2308.74,2209.31,1472.42
12/4/2007,2293.65,2194.87,1462.79
12/5/2007,2329.71,2229.02,1485.01
12/6/2007,2364.97,2262.7,1507.34
12/7/2007,2360.79,2258.68,1504.66
12/10/2007,2378.6,2275.7,1515.96
12/11/2007,2318.51,2218.21,1477.65
12/12/2007,2332.85,2231.84,1486.59
12/13/2007,2335.79,2234.63,1488.41
12/14/2007,2303.79,2203.98,1467.95
12/17/2007,2269.24,2170.91,1445.9
12/18/2007,2283.5,2184.55,1454.98
12/19/2007,2280.47,2181.63,1453
12/20/2007,2292.23,2192.71,1460.12
12/21/2007,2330.81,2229.51,1484.46
12/24/2007,2349.66,2247.54,1496.45
12/26/2007,2351.6,2249.38,1497.66
12/27/2007,2318.72,2217.77,1476.37
12/28/2007,2322.11,2220.99,1478.49
12/31/2007,2306.23,2205.8,1468.36
1/2/2008,2273.41,2174.27,1447.16
1/3/2008,2273.41,2174.28,1447.16
1/4/2008,2217.59,2120.89,1411.63
1/7/2008,2224.76,2127.74,1416.18
1/8/2008,2184.67,2089.18,1390.19
1/9/2008,2214.6,2117.76,1409.13
1/10/2008,2232.24,2134.62,1420.33
